,team_id,time_minutes,momentum,weighted_avg_momentum,city,name
0,674,0.0,-0.008971039310610496,-0.008971039310610496,Valencia,Valencia
1,674,1.0,0.07319890971156266,0.045085685321117994,Valencia,Valencia
2,674,2.0,0.08878526926042198,0.07187441087496849,Valencia,Valencia
3,674,3.0,0.05137177432490458,0.06550258832787631,Valencia,Valencia
4,674,4.0,0.089024515907979,0.07451490555856198,Valencia,Valencia
5,674,5.0,-0.07855888729990967,0.004216381746707646,Valencia,Valencia
6,674,6.0,0.005408466891427757,0.0028577778451145544,Valencia,Valencia
7,674,7.0,0.03865411668138736,0.014449748920671478,Valencia,Valencia
8,674,8.0,0.09456321584623625,0.05802356634988253,Valencia,Valencia
9,674,9.0,0.044504164133666736,0.051313728852162475,Valencia,Valencia
10,674,10.0,-0.02114663835971912,0.010909441794263694,Valencia,Valencia
11,674,11.0,-0.0037861018859691523,-0.003429531784238824,Valencia,Valencia
12,674,12.0,0.04378678829631008,0.02890555412148122,Valencia,Valencia
13,674,13.0,0.039889442617011626,0.029683861075380704,Valencia,Valencia
14,674,14.0,-0.05396440295837346,-0.006491225592760935,Valencia,Valencia
15,674,15.0,-0.028767238720019142,-0.01714670182186273,Valencia,Valencia
16,674,16.0,-0.020223023079080023,-0.011281091231278533,Valencia,Valencia
17,674,17.0,-0.0250356151744771,-0.012800018446568239,Valencia,Valencia
18,674,18.0,0.000895466818872628,-0.021357289207422168,Valencia,Valencia
19,674,19.0,0.012543233046969969,-0.007397132421887387,Valencia,Valencia
20,674,20.0,-0.13792247067942887,-0.07436026618712166,Valencia,Valencia
21,674,21.0,0.01873205576051464,-0.018251426085995684,Valencia,Valencia
22,674,22.0,0.0408873935997025,0.007661530551686433,Valencia,Valencia
23,674,23.0,0.04863868439022361,0.019003942231436855,Valencia,Valencia
24,674,24.0,-0.02474513745732094,0.012303844299433691,Valencia,Valencia
25,674,25.0,-0.007996355116974607,0.006860813576093371,Valencia,Valencia
26,674,26.0,0.05077276282817069,0.03074813070723608,Valencia,Valencia
27,674,27.0,0.10118090676179733,0.06666215854790827,Valencia,Valencia
28,674,28.0,-0.0071312799191885325,0.029704753847428225,Valencia,Valencia
29,674,29.0,0.016336057432821682,0.015072668589135826,Valencia,Valencia
30,674,30.0,0.012295210774404043,0.008053613223397893,Valencia,Valencia
31,674,31.0,-0.026532232257367394,-0.016543287665339447,Valencia,Valencia
32,674,32.0,0.002151649329388005,0.006829270002073097,Valencia,Valencia
33,674,33.0,-0.015315136657217402,-0.0006816985200494409,Valencia,Valencia
34,674,34.0,-0.0030765932435587594,0.003977871533716706,Valencia,Valencia
35,674,35.0,0.046460297911134533,0.027574465187802676,Valencia,Valencia
36,674,36.0,0.04589814787938737,0.011754539171140568,Valencia,Valencia
37,674,37.0,-0.021923566104726656,-3.531260683491133e-05,Valencia,Valencia
38,674,38.0,-0.013928634965647488,-0.0038097176045956737,Valencia,Valencia
39,674,39.0,0.03948980648402284,0.01626368641931076,Valencia,Valencia
40,674,40.0,-0.04806622321409051,-0.0002298360211089586,Valencia,Valencia
41,674,41.0,-0.10498119372456083,-0.06727473430912626,Valencia,Valencia
42,674,42.0,0.07968890829710022,0.02030695787839559,Valencia,Valencia
43,674,43.0,0.0924377983652569,0.04326906500737929,Valencia,Valencia
44,674,44.0,-0.017987251602193565,0.011817390209165462,Valencia,Valencia
45,674,45.0,-0.01628725234740187,0.0020713748457624162,Valencia,Valencia
46,674,46.0,-0.025120117649554706,-0.01507974078038539,Valencia,Valencia
47,674,47.0,-0.019968583123529133,-0.010651828432518658,Valencia,Valencia
48,674,48.0,0.14646365533523462,0.06539330746375793,Valencia,Valencia
49,674,49.0,-0.03032132056325442,0.01309197048043166,Valencia,Valencia
50,674,50.0,0.019826014714459907,0.016563654668384557,Valencia,Valencia
51,674,51.0,0.027550722484832275,0.0314425824428517,Valencia,Valencia
52,674,52.0,0.026783316261011568,0.01378212014307112,Valencia,Valencia
53,674,53.0,-0.02791221245744729,-0.011872936638355591,Valencia,Valencia
54,674,54.0,-0.024717302268258794,-0.011701632147352349,Valencia,Valencia
55,674,55.0,0.08628565555698145,0.04243848091297049,Valencia,Valencia
56,674,56.0,-0.0318434878664322,0.00864487930558472,Valencia,Valencia
57,674,57.0,0.0021437188359618984,0.0075296144137141285,Valencia,Valencia
58,674,58.0,-0.04463145674928031,-0.015919837919293838,Valencia,Valencia
59,674,59.0,0.012396759006438536,0.0010308631620521511,Valencia,Valencia
60,674,60.0,0.004690761524781337,0.0006549431155111782,Valencia,Valencia
61,674,61.0,0.007191387130376397,-0.00718591170247987,Valencia,Valencia
62,674,62.0,0.0020652033933851433,0.005664670586170132,Valencia,Valencia
63,674,63.0,0.008785197620327777,0.011987184037913594,Valencia,Valencia
64,674,64.0,0.051631428680961405,0.02041061649944298,Valencia,Valencia
65,674,65.0,0.026581738079578515,0.04764342265221271,Valencia,Valencia
66,674,66.0,0.010346990328513682,0.003188530242691392,Valencia,Valencia
67,674,67.0,0.0746835466573468,0.03464683132726339,Valencia,Valencia
68,674,68.0,0.07595621846897715,0.06908949295886335,Valencia,Valencia
69,674,69.0,-0.04117687309599151,0.0029934065387556144,Valencia,Valencia
70,674,70.0,-0.027615709809593346,-0.014758035777258805,Valencia,Valencia
71,674,71.0,-0.025116816007828446,-0.013841344589006894,Valencia,Valencia
72,674,72.0,0.046175247267889824,0.022410036417625345,Valencia,Valencia
73,674,73.0,-0.008586724871999754,0.008412347914281443,Valencia,Valencia
